lat,lng,altitude,
37.41684293,126.885,0,
37.42000003,126.8867011,0,
37.42059996,126.8870244,0,
37.42099134,126.8872416,0,
37.4216475,126.8875983,0,
37.4216611,126.8876057,0,
37.42166155,126.8876059,0,
37.42166255,126.8876065,0,
37.42172564,126.8876414,0,
37.42175311,126.8876566,0,
37.42179517,126.8876785,0,
37.42180109,126.8876818,0,
37.42500062,126.8894209,0,
37.42500064,126.8894209,0,
37.42827844,126.891227,0,
37.42828041,126.8912281,0,
37.42828041,126.8912281,0,
37.42828543,126.8912309,0,
37.42846708,126.891331,0,
37.4284851,126.8913409,0,
37.4340449,126.8944049,0,
37.43798667,126.8965357,0,
37.43859653,126.8968654,0,
37.44078178,126.8980468,0,
37.44179106,126.8984205,0,
37.44261905,126.8985997,0,
37.4433966,126.8985667,0,
37.4438228,126.8984622,0,
37.4451218,126.8980355,0,
37.44705435,126.897222,0,
37.45000034,126.8961235,0,
37.45096867,126.8957963,0,
37.45169353,126.8955513,0,
37.45197946,126.8954546,0,
37.45207506,126.895413,0,
37.45236146,126.8952853,0,
37.4533666,126.8948424,0,
37.45376974,126.894664,0,
37.45412965,126.8945046,0,
37.45457383,126.8943092,0,
37.45669071,126.8933703,0,
37.45771536,126.8929194,0,
37.458766,126.8924752,0,
37.45987474,126.8920161,0,
37.45987474,126.8920161,0,
37.46017113,126.8918934,0,
37.46144522,126.8913645,0,
37.46294643,126.8907499,0,
37.46414966,126.8902255,0,
37.46510873,126.8898032,0,
37.46571574,126.8895357,0,
37.48409413,126.8814774,0,
37.48441552,126.8813358,0,
37.48472324,126.8811982,0,
37.48504408,126.881054,0,
37.48529917,126.8809431,0,
37.48544748,126.8808786,0,
37.48597679,126.8806488,0,
37.4865351,126.8804104,0,
37.48693101,126.8802705,0,
37.48716026,126.8802046,0,
37.48739648,126.8801518,0,
37.48764465,126.880111,0,
37.48795651,126.8800719,0,
37.48822237,126.8800484,0,
37.48854902,126.8800198,0,
37.48887851,126.8799991,0,
37.48912276,126.8799818,0,
37.4894015,126.8799636,0,
37.48965394,126.8799437,0,
37.49032551,126.8798991,0,
37.49056392,126.8798819,0,
37.49064436,126.8798762,0,
37.49092551,126.8798568,0,
37.49147353,126.8798209,0,
37.49209827,126.8797765,0,
37.4926403,126.8797386,0,
37.49361563,126.8796728,0,
37.4943571,126.879621,0,
37.49508181,126.8795574,0,
37.49550447,126.8795341,0,
37.49593414,126.8795137,0,
37.49608229,126.8795022,0,
37.49608229,126.8795022,0,
37.49630759,126.8794846,0,
37.49664838,126.879463,0,
37.49675766,126.8794577,0,
37.49675766,126.8794577,0,
37.49706305,126.8794428,0,
37.49745158,126.8794349,0,
37.49764405,126.8794378,0,
37.49784273,126.8794473,0,
37.49799967,126.879457,0,
37.49818994,126.8794774,0,
37.49834414,126.8794977,0,
37.49851303,126.8795304,0,
37.49877728,126.8795776,0,0
37.49905251,126.8796424,0,
37.49925491,126.8797048,0,
37.49948752,126.8797769,0,
37.49965819,126.8798416,0,
37.5,126.8799775,0,
37.5,126.8799775,0,
37.50000039,126.8799777,0,
37.50000042,126.8799777,0,
37.50002992,126.8799903,0,
37.50029179,126.8801151,0,
37.5005077,126.8802309,0,
37.50073057,126.8803706,0,
37.50096284,126.880538,0,
37.50127626,126.8807703,0,
37.50145597,126.8809083,0,
37.50171171,126.881122,0,
37.50172235,126.8811321,0,
37.50195251,126.8813491,0,
37.50223502,126.8816483,0,
37.50232852,126.8817522,0,0
37.50257831,126.8820323,0,
37.50287775,126.8823433,0,
37.50318073,126.8826749,0,
37.50344069,126.882961,0,
37.50381114,126.8833723,0,
37.5039486,126.8835213,0,
37.50408365,126.8836777,0,
37.504207,126.8838237,0,
37.50432525,126.8839695,0,
37.50444948,126.8841295,0,
37.50456308,126.8842831,0,
37.50466159,126.884417,0,
37.50478519,126.8845982,0,
37.504834,126.8846787,0,
37.50502401,126.8849697,0,
37.5051928,126.8852461,0,
37.50535485,126.8855066,0,
37.50555374,126.8858282,0,
37.50571738,126.8860963,0,
37.50589731,126.8863889,0,
37.50608575,126.8866978,0,
37.50627542,126.8870022,0,
37.50646757,126.88731,0,
37.50666676,126.8876354,0,
37.50689659,126.8880053,0,
37.50710424,126.8883409,0,
37.50728867,126.8886368,0,
37.50735971,126.888753,0,
37.50753802,126.8890448,0,
37.50773579,126.889376,0,
37.50793536,126.8897263,0,
37.50809003,126.8900152,0,
37.50826377,126.8903581,0,
37.50842037,126.8906803,0,
37.50862207,126.891112,0,
37.5087707,126.8914558,0,
37.50891582,126.8917974,0,0
37.50917138,126.8924031,0,
37.50936874,126.8928741,0,
37.50959711,126.8934109,0,
37.50980252,126.8938917,0,
37.51002569,126.8943966,0,
37.51025465,126.8949061,0,
37.51049246,126.8954388,0,
37.5107201,126.8959435,0,
37.51093962,126.8964423,0,
37.5111656,126.8969523,0,
37.51137067,126.8974139,0,
37.5115687,126.8978788,0,
37.51176685,126.898376,0,
37.51191537,126.8987766,0,
37.51205875,126.8991552,0,
37.51207348,126.8991944,0,
37.5122413,126.8996402,0,
37.51234837,126.8999368,0,
37.51237206,126.9,0,
37.51249841,126.9003368,0,
37.5126271,126.9006744,0,
37.5126322,126.9006881,0,
37.5126322,126.9006881,0,
37.51274455,126.9009907,0,
37.51290673,126.9014385,0,
37.51295327,126.9015626,0,
37.51295327,126.9015626,0,
37.51306963,126.901873,0,
37.51320944,126.9022504,0,
37.51336219,126.9026672,0,
37.51351328,126.9030698,0,
37.51369015,126.9035215,0,
37.51387608,126.9039691,0,
37.51408695,126.9044652,0,
37.51439467,126.9051857,0,
37.51471947,126.9059479,0,
37.5149798,126.9065557,0,
37.51508236,126.9067781,0,
37.51598134,126.9089106,0,
37.51615763,126.9093298,0,
37.51615763,126.9093298,0,
37.51617446,126.9093698,0,
37.51633252,126.9097408,0,
37.51645544,126.9100533,0,
37.51653446,126.9102847,0,
37.51661246,126.9105378,0,
37.51668561,126.9108505,0,
37.51673634,126.9111274,0,
37.51678206,126.9115003,0,
37.51681248,126.9118707,0,
37.51683841,126.9122204,0,
37.51683841,126.9122204,0,
37.51684899,126.9123632,0,
37.51689484,126.9130416,0,
37.51690988,126.9132656,0,
37.51690988,126.9132656,0,
37.51693131,126.9135847,0,
37.51693131,126.9135847,0,
37.51693972,126.91371,0,
37.51701037,126.9147195,0,
37.51702634,126.9149891,0,
37.51703807,126.9153237,0,
37.51704136,126.9156108,0,
37.51704333,126.915833,0,
37.51703644,126.9160552,0,
37.51702216,126.9163265,0,
37.5170058,126.9165383,0,
37.51688302,126.9174269,0,
37.51683501,126.917649,0,
37.51677598,126.9178937,0,
37.51667658,126.9182471,0,
37.51656543,126.9185673,0,
37.51645654,126.918886,0,
37.51634681,126.9191642,0,
37.51619421,126.9194661,0,
37.51609109,126.9196757,0,
37.51600192,126.9198513,0,
37.51587557,126.9200658,0,
37.51575091,126.9202551,0,
37.51563075,126.9204414,0,
37.51546575,126.9206723,0,
37.51520144,126.9210135,0,
37.5147551,126.9215694,0,
37.51453292,126.921865,0,
37.5143638,126.9220811,0,
37.51425791,126.9222347,0,
37.5141561,126.9223905,0,
37.51406422,126.9225385,0,
37.5139789,126.9226851,0,
37.5139063,126.9228143,0,
37.51381745,126.9229873,0,
37.51373034,126.9231663,0,
37.51365345,126.9233489,0,
37.51358359,126.9235183,0,
37.51353099,126.923655,0,
37.51346837,126.9238327,0,
37.51341751,126.9240017,0,
37.51337197,126.9241477,0,
37.51332901,126.9243138,0,
37.51329989,126.9244369,0,
37.51326495,126.9246031,0,
37.51323124,126.9247909,0,
37.51320482,126.9249591,0,
37.51320392,126.925,0,
37.51319906,126.925108,0,
37.51319292,126.9252552,0,
37.51318386,126.9253886,0,
37.51317123,126.9255331,0,
37.51316647,126.9257344,0,
37.51315271,126.92593,0,
37.5131491,126.926087,0,
37.51314281,126.9263174,0,
37.51313561,126.9265464,0,
37.51313359,126.9267601,0,
37.51312927,126.9269558,0,
37.51312842,126.9270466,0,
37.51364688,126.9289552,0,
37.51373179,126.9292962,0,
37.51385447,126.9297758,0,
37.51401554,126.9303975,0,
37.51414927,126.9309143,0,
37.51421499,126.9311757,0,
37.51427305,126.9314111,0,
37.51428999,126.9314798,0,
37.51433185,126.9316496,0,
37.51442772,126.9321128,0,
37.51449031,126.9325362,0,
37.51451704,126.9328076,0,
37.51452811,126.9331013,0,
37.51452451,126.9334258,0,
37.5144923,126.9338237,0,
37.51443972,126.9342112,0,
37.5143638,126.9346034,0,
37.51425917,126.935055,0,
37.51417147,126.9354851,0,
37.51404394,126.9360762,0,
37.51396985,126.9365285,0,
37.5139241,126.9369142,0,
37.51389846,126.937318,0,
37.51389838,126.9376816,0,
37.51392364,126.9379144,0,
37.5139769,126.938445,0,
37.51405683,126.9389881,0,
37.51410979,126.9393067,0,
37.51410979,126.9393067,0,
37.51417339,126.9396261,0,
37.51423488,126.939892,0,
37.51428481,126.9400897,0,
37.51433267,126.9403014,0,
37.51437331,126.940495,0,
37.51441417,126.9407621,0,
37.51441417,126.9407621,0,
37.51445632,126.9410849,0,
37.51449983,126.9414425,0,
37.51454421,126.9418974,0,
37.51459261,126.9423097,0,
37.51461166,126.942573,0,
37.51461787,126.942857,0,
37.51461937,126.9431195,0,
37.51462197,126.9433943,0,
37.51462455,126.9436669,0,
37.51462455,126.9436669,0,
37.51462662,126.9436883,0,
37.5146419,126.9440013,0,
37.51471664,126.9446625,0,
37.51473285,126.9448427,0,
37.51488784,126.9454691,0,
37.51505311,126.9459079,0,
37.51528957,126.9463939,0,
37.51549092,126.9467359,0,
37.51568007,126.9469939,0,
37.51604742,126.9474255,0,
37.51680022,126.9482793,0,
37.51754996,126.9491444,0,
37.51831028,126.95,0,
37.51844572,126.9501524,0,
37.51930362,126.9511362,0,
37.52031447,126.9522861,0,
37.5213785,126.9534984,0,
37.52232263,126.9545669,0,
37.52297812,126.9553157,0,
37.52382352,126.9562563,0,
37.52422166,126.9567157,0,
37.52435011,126.9568685,0,
37.52464929,126.9572359,0,
37.52500057,126.9577056,0,
37.52507504,126.9578052,0,
37.52548312,126.9583746,0,
37.52583514,126.9588824,0,
37.52624143,126.9594792,0,
37.5264356,126.9597615,0,
37.52657667,126.9599503,0,
37.52672631,126.9601451,0,
37.52687792,126.9603272,0,
37.52706792,126.960549,0,
37.52726054,126.960761,0,
37.52736239,126.960871,0,
37.5274956,126.9610147,0,
37.52765783,126.9611677,0,
37.5279758,126.9614634,0,
37.52823798,126.9617058,0,
37.52854541,126.9619904,0,
37.52876685,126.9621998,0,
37.52894116,126.9623763,0,
37.52900236,126.9624446,0,
37.52916442,126.9626386,0,
37.52933884,126.96288,0,
37.52941665,126.9629939,0,
37.53106908,126.9655418,0,
37.53117629,126.9656885,0,
37.53154973,126.9662112,0,
37.53198833,126.9668197,0,
37.53228361,126.9672226,0,
37.53250372,126.9675286,0,
37.53270336,126.9678006,0,
37.53291662,126.9680991,0,
37.53291662,126.9680991,0,
37.53305616,126.9683438,0,
37.53305616,126.9683438,0,
37.5331116,126.9684262,0,
37.5333829,126.9688072,0,
37.53362995,126.9691585,0,
37.53366775,126.9692073,0,
37.53366775,126.9692073,0,
37.53370468,126.969255,0,
37.53370468,126.969255,0,
37.53380983,126.9693907,0,
37.53380983,126.9693907,0,
37.53386081,126.9694565,0,
37.53386081,126.9694565,0,
37.53408691,126.9697483,0,
37.53426833,126.9699322,0,
37.53444551,126.9700845,0,
37.53452031,126.9701429,0,
37.53461709,126.9702185,0,
37.53491583,126.9704255,0,
37.5351139,126.9705441,0,
37.53530115,126.9706394,0,
37.53540146,126.9706862,0,
37.535543,126.9707522,0,
37.53579395,126.9708365,0,
37.53612996,126.9709246,0,
37.53640595,126.9709884,0,
37.53676014,126.9710326,0,
37.53708505,126.9710657,0,
37.53754836,126.9711148,0,
37.53782921,126.9711353,0,
37.53805941,126.9711465,0,
37.53832954,126.9711604,0,
37.53905439,126.9711669,0,
37.5401237,126.9711661,0,
37.54164513,126.9711644,0,
37.54375959,126.9711565,0,
37.54462536,126.971149,0,
37.54536878,126.9711501,0,
37.54626383,126.9711455,0,
37.54697661,126.9711438,0,
37.54751648,126.9711383,0,
37.54795004,126.9711328,0,
37.54795004,126.9711328,0,
37.54819709,126.9711038,0,
37.54839224,126.9710722,0,
37.54859667,126.9710322,0,
37.54893488,126.9709415,0,
37.54903977,126.9709123,0,
37.54903977,126.9709123,0,
37.54936715,126.970821,0,
37.54948517,126.9707873,0,
37.54987636,126.9706808,0,
37.55000036,126.9706497,0,
37.55015124,126.970626,0,
37.55027868,126.9705989,0,
37.55037508,126.9705814,0,
37.55046031,126.9705682,0,
37.55056829,126.9705572,0,
37.55067114,126.9705493,0,
37.55077548,126.9705439,0,
37.55089468,126.9705411,0,
37.55105658,126.9705387,0,
37.5512435,126.9705394,0,
37.55144514,126.9705386,0,
37.55173585,126.9705364,0,
37.55189848,126.9705375,0,
37.5523482,126.970536,0,
